iter	Passed	Remaining
0	31	31962
1	90	45314
2	152	50629
3	304	75732
4	619	123340
5	760	125910
6	862	122398
7	993	123144
8	1093	120353
9	1238	122622
10	1421	127794
11	1605	132178
12	1708	129692
13	1809	127466
14	1905	125097
15	1966	120963
16	2094	121121
17	2226	121481
