iter	Logloss
0	0.6512304458
1	0.6142683387
2	0.5782357781
3	0.5551940485
4	0.5353670212
5	0.519859541
6	0.5075952932
7	0.4973161152
8	0.4886599093
9	0.4806579064
10	0.4729803103
11	0.4675619145
12	0.4619572722
13	0.4574210524
14	0.4527700613
15	0.4489874225
16	0.4447243367
17	0.4416890777
