iter	Logloss
0	0.6494694785
1	0.615496811
2	0.5874975519
3	0.5560607666
4	0.5363778834
5	0.5203504182
6	0.5079585895
7	0.4969394866
8	0.4874760782
9	0.4797764485
10	0.4726358865
11	0.4667003353
12	0.4611658581
13	0.4567924104
14	0.452734598
15	0.449486234
16	0.4458589804
17	0.4415308877
18	0.4380948185
19	0.4349974066
20	0.4309587076
21	0.426363457
22	0.4239705967
23	0.4217810087
24	0.4196258238
25	0.4165108293
26	0.4149001745
27	0.412398416
28	0.4073105681
29	0.4057924011
30	0.4045385746
31	0.4030181848
32	0.4003146748
33	0.3972491994
34	0.3946725875
35	0.3936168884
36	0.3900012635
37	0.3858577381
38	0.3823932305
39	0.380959319
40	0.3795623247
41	0.3783117762
42	0.3754673994
43	0.3743914881
44	0.3734163693
45	0.3721145645
46	0.3696279975
47	0.3673485914
48	0.3664754842
49	0.3656186954
50	0.3601706237
51	0.3592346124
52	0.357293578
53	0.3565447692
54	0.3556102927
55	0.3544057808
56	0.3535177749
57	0.3525765172
58	0.3490995217
59	0.3468504084
60	0.3456776959
61	0.3449707825
62	0.3435230269
63	0.3421534642
64	0.3416264409
65	0.3411960364
66	0.3404474296
67	0.3369273183
68	0.3356437601
69	0.3350895516
70	0.3345067274
71	0.3339506067
72	0.3327514353
73	0.3321050381
74	0.3315551877
75	0.3303966744
76	0.3294700327
77	0.3289240745
78	0.3280417139
79	0.3274799451
80	0.3266668607
81	0.3260972135
82	0.3251378497
83	0.3247011721
84	0.3242365402
85	0.3236063398
86	0.3232369744
87	0.3226940793
88	0.3215909423
89	0.3212115507
90	0.3195021653
91	0.3187038699
92	0.3165320485
93	0.3133633243
94	0.31223567
95	0.3119062316
96	0.3115717321
97	0.3111733316
98	0.3104863357
99	0.3096007294
100	0.3092703649
101	0.3081687851
102	0.3072819049
103	0.3056344385
104	0.3042652741
105	0.3034924967
106	0.3030890295
107	0.3027794326
108	0.3023682528
109	0.3020498287
110	0.3011528308
111	0.3007825865
112	0.2989913749
113	0.2984607732
114	0.2979013175
115	0.29670917
116	0.2958860816
117	0.2951493783
118	0.2947877944
119	0.2940534722
120	0.2937961621
121	0.2931241345
122	0.2922807564
123	0.2920554373
124	0.2916607738
125	0.2908393462
126	0.2900265303
127	0.2897398644
128	0.2892991396
129	0.2885541442
130	0.2873539452
131	0.287057037
132	0.28627917
133	0.2849305906
134	0.2846578638
135	0.2840561408
136	0.2833224622
137	0.283025175
138	0.2827704994
139	0.2816798915
140	0.2813017238
141	0.2809066433
142	0.2804853031
143	0.2801695945
144	0.2794936061
145	0.2785441376
146	0.277220248
147	0.2769507709
148	0.2765111827
149	0.2755915409
150	0.2754112202
151	0.274446695
152	0.2732938665
153	0.272959446
154	0.2723297214
155	0.2720572228
156	0.2715275651
157	0.2711424824
158	0.2706031211
159	0.2703956948
160	0.2699677381
161	0.2695907875
162	0.2694135377
163	0.2692019788
164	0.2686060496
165	0.2681653255
166	0.2674941006
167	0.2671056796
168	0.2668600653
169	0.2665581476
170	0.266447367
171	0.2662061587
172	0.2659732258
173	0.2657543796
174	0.2652610615
175	0.2650673737
176	0.2649003999
177	0.2647541757
178	0.2644262126
179	0.2642201443
180	0.2640252588
181	0.2636459164
182	0.263149203
183	0.2628815857
184	0.2627392021
185	0.2625688233
186	0.262343693
187	0.2618434188
188	0.2613915541
189	0.2609839706
190	0.2608381952
191	0.26053361
192	0.2603330721
193	0.2597635198
194	0.2595396401
195	0.2592987351
196	0.2590411116
197	0.258738345
198	0.2584689814
199	0.2580263654
200	0.2577932268
201	0.2576020643
202	0.2574989498
203	0.2572463112
204	0.2568376593
205	0.2565180164
206	0.2563109426
207	0.2561350552
208	0.2560229164
209	0.2557608178
210	0.2555565492
211	0.2554053272
212	0.2552188047
213	0.2548961381
214	0.2547796255
215	0.2546194663
216	0.2542624295
217	0.2541086951
218	0.2539621329
219	0.2538076171
220	0.2536090958
221	0.2534600057
222	0.253367128
223	0.2532124283
224	0.2530328364
225	0.2527704948
226	0.2522022173
227	0.2516614924
228	0.2511943215
229	0.2505200346
230	0.2494761707
231	0.2491777067
232	0.2489280765
233	0.2487739476
234	0.2484633926
235	0.2482766918
236	0.2481313758
237	0.247948388
238	0.2477971644
239	0.2477129188
240	0.2475654407
241	0.2471254511
242	0.246961521
243	0.2468514045
244	0.2467487959
245	0.2463931735
246	0.2462544468
247	0.2461536579
248	0.2456681455
249	0.2455433228
250	0.2452784171
251	0.2451000558
252	0.2447956044
253	0.2446419994
254	0.2445030197
255	0.2443384149
256	0.2441240574
257	0.2438492162
258	0.2435576851
259	0.2431225814
260	0.2430163673
261	0.2429230143
262	0.2424216984
263	0.2422669076
264	0.2421744523
265	0.2420605148
266	0.2419522817
267	0.2417948531
268	0.2416718721
269	0.2415026965
270	0.2413808348
271	0.2412767681
272	0.2411790264
273	0.2410513634
274	0.2408351413
275	0.2407084511
276	0.2406303606
277	0.2405327279
278	0.2404178105
279	0.2403540373
280	0.2401935799
281	0.2401135228
282	0.2400238143
283	0.2399105353
284	0.2398081049
285	0.2397227448
286	0.2395862536
287	0.2393517399
288	0.2390560439
289	0.2389099091
290	0.2387536892
291	0.2386008127
292	0.2384964636
293	0.2383745223
294	0.2381548581
295	0.2380574589
296	0.2379753272
297	0.2378038823
298	0.2377551244
299	0.237660678
300	0.237602001
301	0.2374688127
302	0.2373643519
303	0.2372493153
304	0.2371062432
305	0.2370232735
306	0.2368925476
307	0.236689421
308	0.2365732884
309	0.236435221
310	0.2363419081
311	0.2362653775
312	0.2361048734
313	0.2360298756
314	0.2359231425
315	0.2355486303
316	0.2354225356
317	0.2351867816
318	0.2351108611
319	0.2349860642
320	0.2348586473
321	0.2347294291
322	0.2346187939
323	0.2342512762
324	0.2341394087
325	0.233908155
326	0.2337695416
327	0.2336797599
328	0.2335724536
329	0.2334892705
330	0.2334178354
331	0.2332154355
332	0.2331183571
333	0.232973206
334	0.2328737017
335	0.2327824643
336	0.2327035936
337	0.2325944455
338	0.2325066045
339	0.2324140096
340	0.2323252894
341	0.2322506392
342	0.2321531924
343	0.2319660604
344	0.2318594923
345	0.2317489373
346	0.2316827898
347	0.2315871056
348	0.2315190677
349	0.2313777602
350	0.231296179
351	0.2311699708
352	0.2310714407
353	0.2310047903
354	0.2309482585
355	0.2308747316
356	0.2307979231
357	0.2307468079
358	0.2306408623
359	0.2305289897
360	0.2303065296
361	0.2302373142
362	0.2301423514
363	0.2300526309
364	0.2299528255
365	0.2298755964
366	0.2296813409
367	0.2296258492
368	0.2295617357
369	0.229480925
370	0.2293369711
371	0.2291214708
372	0.2290356147
373	0.2289600819
374	0.2288924031
375	0.2288043679
376	0.2285842393
377	0.2284888872
378	0.2283566718
379	0.228294276
380	0.2282377669
381	0.2281679269
382	0.2280274207
383	0.2279827026
384	0.2278687589
385	0.2277540023
386	0.2276675998
387	0.2276034752
388	0.2275470814
389	0.2274598267
390	0.2273787906
391	0.2273188919
392	0.2272124143
393	0.2271601668
394	0.2270569995
395	0.2269961441
396	0.2269511395
397	0.2268459733
398	0.2267416857
399	0.226667282
400	0.2265880581
401	0.2265185548
402	0.2264647132
403	0.226408839
404	0.2263274053
405	0.2262497571
406	0.226181078
407	0.2261004979
408	0.2260245474
409	0.2259600223
410	0.2258744064
411	0.2258173344
